question_idx,chinese,pinyin,syllables,audio,correct_tone,user_answer,is_correct,time_seconds,timestamp
5,车,chē,1,03_车_1.wav,1,1,True,15.11,2026-02-02 10:58:16
6,学校,xuéxiào,2,05_学校_24.wav,24,24,True,29.68,2026-02-02 10:58:48
1,狗,gǒu,1,09_狗_3.wav,3,3,True,23.82,2026-02-02 14:33:02
2,美国,měiguó,2,07_美国_32.wav,32,1,False,19.0,2026-02-02 14:33:28
3,骂,mà,1,11_骂_4.wav,4,3,False,13.52,2026-02-02 14:33:48
4,牛奶,niúnǎi,2,04_牛奶_23.wav,23,12,False,14.93,2026-02-02 14:34:08
5,火,huǒ,1,08_火_3.wav,3,43,False,25.33,2026-02-02 14:34:39
6,明天,míngtiān,2,03_明天_21.wav,21,1,False,18.21,2026-02-02 14:35:01
1,美国,měiguó,2,07_美国_32.wav,32,42,False,40.48,2026-02-03 14:24:13
2,问题,wèntí,2,09_问题_42.wav,42,31,False,27.01,2026-02-03 14:24:43
3,骂,mà,1,11_骂_4.wav,4,4,True,20.38,2026-02-03 14:25:06
4,学,xué,1,04_学_2.wav,2,2,True,23.73,2026-02-03 14:25:32
5,牛奶,niúnǎi,2,04_牛奶_23.wav,23,24,False,25.4,2026-02-03 14:25:58
6,天,tiān,1,01_天_1.wav,1,1,True,24.62,2026-02-03 14:26:25
1,面包,miànbāo,2,08_面包_41.wav,41,42,False,55.32,2026-02-03 16:02:56
2,明天,míngtiān,2,03_明天_21.wav,21,21,True,20.32,2026-02-03 16:03:23
3,狗,gǒu,1,09_狗_3.wav,3,3,True,8.45,2026-02-03 16:03:36
4,问题,wèntí,2,09_问题_42.wav,42,42,True,40.23,2026-02-03 16:04:20
5,车,chē,1,03_车_1.wav,1,1,True,23.19,2026-02-03 16:04:49
6,去,qù,1,12_去_4.wav,4,4,True,18.05,2026-02-03 16:05:08
1,学,xué,1,04_学_2.wav,2,2,True,44.17,2026-02-03 16:39:21
2,明天,míngtiān,2,03_明天_21.wav,21,21,True,77.5,2026-02-03 16:40:44
3,天,tiān,1,01_天_1.wav,1,1,True,37.3,2026-02-03 16:41:25
4,中国,zhōngguó,2,01_中国_12.wav,12,13,False,59.91,2026-02-03 16:42:27
5,火,huǒ,1,08_火_3.wav,3,3,True,34.74,2026-02-03 16:43:08
6,牛奶,niúnǎi,2,04_牛奶_23.wav,23,24,False,53.17,2026-02-03 16:44:04
1,狗,gǒu,1,09_狗_3.wav,3,3,True,74.69,2026-02-03 17:10:44
2,心,xīn,1,02_心_1.wav,1,1,True,12.69,2026-02-03 17:10:59
3,牛奶,niúnǎi,2,04_牛奶_23.wav,23,12,False,17.9,2026-02-03 17:11:20
4,商店,shāngdiàn,2,02_商店_14.wav,14,14,True,10.55,2026-02-03 17:11:40
5,美国,měiguó,2,07_美国_32.wav,32,42,False,17.65,2026-02-03 17:12:01
6,去,qù,1,12_去_4.wav,4,4,True,10.03,2026-02-03 17:12:19
1,学,xué,1,04_学_2.wav,2,2,True,68.24,2026-02-03 17:54:08
2,叫,jiào,1,10_叫_4.wav,4,4,True,17.32,2026-02-03 17:54:31
3,商店,shāngdiàn,2,02_商店_14.wav,14,14,True,18.89,2026-02-03 17:54:52
4,狗,gǒu,1,09_狗_3.wav,3,3,True,12.96,2026-02-03 17:55:06
5,面包,miànbāo,2,08_面包_41.wav,41,41,True,21.9,2026-02-03 17:55:29
6,牛奶,niúnǎi,2,04_牛奶_23.wav,23,24,False,26.97,2026-02-03 17:55:57
1,美国,měiguó,2,07_美国_32.wav,32,3,False,38.91,2026-02-04 13:19:02
2,天,tiān,1,01_天_1.wav,1,1,True,11.52,2026-02-04 13:19:16
3,电脑,diànnǎo,2,10_电脑_43.wav,43,34,False,19.9,2026-02-04 13:19:39
4,狗,gǒu,1,09_狗_3.wav,3,3,True,10.34,2026-02-04 13:19:53
5,白,bái,1,06_白_2.wav,2,4,False,13.34,2026-02-04 13:20:09
6,老师,lǎoshī,2,06_老师_31.wav,31,3,False,22.73,2026-02-04 13:20:34
1,叫,jiào,1,10_叫_4.wav,4,4,True,38.56,2026-02-05 11:53:31
2,老师,lǎoshī,2,06_老师_31.wav,31,31,True,15.2,2026-02-05 11:53:47
3,学,xué,1,04_学_2.wav,2,2,True,13.0,2026-02-05 11:54:01
4,狗,gǒu,1,09_狗_3.wav,3,32,False,25.16,2026-02-05 11:54:28
5,明天,míngtiān,2,03_明天_21.wav,21,21,True,14.68,2026-02-05 11:54:47
6,电脑,diànnǎo,2,10_电脑_43.wav,43,41,False,33.57,2026-02-05 11:55:23
